"ProbeID","All_Effect_Random","UCSC_RefGene_Names"
"cg02890259",0.0774624802527611,"HSPB7"
"cg15075357",-0.0713859361908763,"NPHP4"
"cg25174111",-0.0691243058014383,"MUS81"
"cg00345083",0.0594285976554777,"AJAP1"
"cg16788857",0.0584334963170569,"C3orf59"
"cg08407901",0.0563841252368221,"SLC37A1"
"cg00675157",-0.0557943289448939,"GABRA2"
"cg11897887",-0.054343391105353,"CST9L"
"cg03449867",0.0542154960170253,"OCA2"
"cg00881894",-0.0521330715543579,"SCN1A"
"cg23813394",0.0509709081440498,"COL6A3"
"cg18673341",-0.0504609397479622,"MGC87042"
"cg13031029",-0.0491512995185833,"LAMB1"
"cg07846874",-0.0480811081329009,"THSD7A"
"cg06334689",0.0479280304155291,"DOC2A"
"cg14361804",0.0479064312322851,"TNFSF8"
"cg06378561",-0.0476652821666484,"FSTL1"
"cg00257789",0.0473849587090908,"TTC15"
"cg19935756",-0.0467665967729564,"GABRB1"
"cg22535849",0.0444491747009343,"SDK1"
"cg08669168",-0.0437729672290629,"SCFD2"
"cg17370616",-0.043141062980339,"RPL13AP3"
"cg17341969",-0.0422330375585228,"SNPH"
"cg25692928",0.0417709692029251,"CLSTN2"
"cg12501287",0.0415331451916072,"INPP5A"
"cg05023192",-0.0414966387027244,"NDUFA10"
"cg08880261",0.0407561824541658,"UMODL1"
"cg12657416",0.0406814263857323,"FAM69B"
"cg12134602",-0.0402162196347,"C7orf45"
"cg23936477",0.0400819013531739,"C18orf62"
"cg09307883",0.0399657022931254,"ANAPC2"
"cg10482512",0.0398676977187628,"CCR6"
"cg21463262",-0.039224625559861,"ATP11A"
"cg13653328",0.0383185498764742,"ABLIM3"
"cg16081854",0.0382988903131708,"AHRR"
"cg15295200",-0.0381972452203259,"NMNAT3"
"cg05340866",0.0381315564718198,"CNTNAP2"
"cg05393861",0.0371888867551907,"ITIH3"
"cg14964115",0.0370162613385466,"FAM160B1"
"cg05138546",0.036542833304836,"KRT36"
"cg18756931",0.0361886053836803,"TMCO4"
"cg21193926",-0.0361362897378278,"TGFB3"
"cg02819655",-0.0360854696774027,"PDE11A"
"cg16956665",0.0359518745765925,"STT3A"
"cg16112880",-0.0357749618456444,"TMEM9"
"cg23947654",-0.0357189821037995,"TANC1"
"cg23564471",-0.0356131674403404,"NFASC"
"cg00814218",0.0352526739894999,"SLC25A21"
"cg02668233",0.0352429710349494,"TMEM132B"
"cg07618759",-0.0349733515864696,"COL4A2"
"cg16748433",0.0344727903113501,"ARHGEF10"
"cg11585022",-0.0341929738158772,"WDR36"
"cg11251367",-0.0341636522640936,"FMN2"
"cg18339359",-0.0340759109864899,"SLC25A37"
"cg23836570",0.034060120593715,"FBRSL1"
"cg10309386",-0.0339257315145828,"BEND7"
"cg08963013",0.0338863286960359,"LRRTM4"
"cg15083522",-0.0337506777493362,"LRRC27"
"cg08146865",-0.0337041829645436,"NME6"
"cg02658043",0.0336841870673628,"NRBP2"
"cg23576855",-0.0336095711434241,"AHRR"
"cg19218082",-0.0335300669354712,"COL4A2"
"cg26679884",-0.0332436448167506,"TUBB8"
"cg08925606",0.0332285212137325,"BPIL1"
"cg09785377",0.0329379884731474,"ANXA2"
"cg23499373",0.0327462084900021,"ZNF135"
"cg10687131",-0.0322213901088189,"GDF7"
"cg22138998",-0.0322086489017977,"SFRS9"
"cg26882525",0.0322080087064753,"SLC36A3"
"cg21241195",0.0321618657259984,"C6orf10"
"cg03466780",-0.0321534000500307,"EXD3"
"cg19236675",-0.0320629449990091,"PMS2L11"
"cg17009574",-0.0318963731945968,"BTN3A2"
"cg21795255",0.0318355491849468,"SLC2A9"
"cg07684215",0.0317820385421533,"TCERG1L"
"cg16120147",0.0317621577256573,"LYNX1"
"cg26077133",0.0316535911961676,"MSRA"
"cg20823859",-0.0316517474480992,"OVGP1"
"cg15602423",0.031217072183429,"HLA-DRB1"
"cg16675926",-0.0312123429704887,"KIAA1804"
"cg22461201",-0.0311050798987747,"PDZD2"
"cg19415746",0.0310640124875699,"NRAP"
"cg15775217",-0.0310465662700666,"TXNRD1"
"cg21309167",0.0309282671674862,"PDGFRA"
"cg17839758",0.0308680977712336,"C21orf29"
"cg09762182",0.0308205743033607,"C1orf159"
"cg18861767",-0.03060907715916,"C10orf58"
"cg05126514",-0.0304974308498587,"BSN"
"cg16655091",-0.0302947985632358,"ATP8A2"
"cg26069044",-0.0302805947457142,"NRGN"
"cg16046605",0.03023180840798,"LCE3A"
"cg13295089",-0.0301545974562642,"RBM33"
"cg14044167",-0.0300718186020187,"NDRG1"
"cg23633026",0.0300300888077112,"RASL10B"
