"ProbeID","beta_auto","UCSC_RefGene_Names"
"cg04173586",0.0213700304036078,"DOT1L"
"cg05575921",-0.0185945199694028,"AHRR"
"cg17501210",-0.0132122570136601,"RPS6KA2"
"cg20060108",0.0128153884089333,"IL1RL1"
"cg01676795",0.0127484530953437,"POR"
"cg17901584",-0.0123938429405576,"DHCR24"
"cg03295554",-0.0123550070756021,"ETS1"
"cg20988565",0.0118972022923059,"ZFPM2"
"cg27262041",0.0116359457322738,"NAV2"
"cg05696877",0.0108457180696084,"IFI44L"
"cg09158821",-0.0105636665500607,"SLC43A2"
"cg14047370",-0.0103899887395351,"HECW1"
"cg09592903",0.00987708441214162,"RTN4"
"cg04813697",0.00968563634210998,"PIP4K2A"
"cg08006309",-0.0096381506575265,"IFT140"
"cg11699125",0.00953982829049289,"ACOT7"
"cg01285783",0.00940887204649054,"C6orf195"
"cg18518074",0.00911715664721899,"EHD1"
"cg03657281",0.00878832857720049,"SLC22A23"
"cg05307752",0.00861003968259039,"ARHGAP15"
"cg21120249",-0.00858659798195976,"C9orf139"
"cg07197831",0.00855294928896918,"DNAJC5G"
"cg18608055",-0.00843927012899054,"SBNO2"
"cg24524470",0.00842908631320508,"EFCAB2"
"cg24395672",0.00837620927900274,"CCL23"
"cg04359840",-0.00832048993990649,"XYLT1"
"cg03172657",-0.0081607364676427,"ACSF3"
"cg12614529",0.00808888293153839,"MND1"
"cg27423177",0.00808614965356696,"C3AR1"
"cg00711496",-0.00805336179104136,"C19orf76"
"cg00736681",0.00804363437193104,"ST3GAL1"
"cg20313856",0.00795701876584897,"HNRPLL"
"cg26385222",0.0078413458001268,"TMEM176B"
"cg22356061",-0.00775669487608164,"SNAP47"
"cg26791242",0.00773728180232607,"LOC339524"
"cg19078576",0.00771126074759754,"BASP1"
"cg24165121",-0.00754239918793294,"NAPB"
"cg05155595",0.00751446851209125,"ANXA4"
"cg10455940",-0.00747736752601901,"BTRC"
"cg02099877",0.00742089391071992,"NCEH1"
"cg26546113",0.00741065098055295,"DHX9"
"cg09744397",0.0073229550536407,"TARSL2"
"cg18058230",-0.00722270480897352,"TNIK"
"cg11269166",0.00713780341210689,"METTL8"
"cg21934230",-0.00709086869337168,"WNT3A"
"cg15096142",0.00708510350386241,"RSPH1"
"cg06062279",0.00706834596527104,"GALNS"
"cg18307978",0.00706310707032866,"AQP1"
"cg23582644",0.00705295623281948,"SERPINB2"
"cg15144631",0.00704217095120126,"IQCE"
"cg16151960",0.00696026049859771,"PHF15"
"ch.15.327351R",-0.00695857749032043,"C15orf41"
"cg24872815",0.00687926911924978,"SPRED2"
"cg07011168",0.00686787978442729,"ARHGAP22"
"cg02615735",-0.00684885474566456,"LY6G5C"
"cg26657404",-0.00680740986158818,"KIAA0182"
"cg16517298",-0.00670583010229296,"GALNT2"
"cg11881599",0.00669367509691095,"CLLU1OS"
"cg13835688",0.00665150242019101,"SLC25A25"
"cg09497409",-0.00661249034633551,"LASS4"
"cg20429981",-0.00660038681371683,"CDK11B"
"cg03020424",0.00656374876000725,"CPA3"
"cg02580045",0.00655136050966641,"ANKRD13A"
"cg14645244",0.00654488008227834,"HLA-DRB1"
"cg16699354",-0.0065433628715681,"ALK"
"cg20276377",0.00654108592994784,"C3orf26"
"cg14531564",0.00649591172476732,"SDF4"
"cg25939647",0.00643570906642463,"GPR176"
"cg25119415",0.0064202386091192,"MNDA"
"cg11771383",0.00639617637013178,"INPP5A"
"cg01104590",-0.00635873149115419,"CARS"
"cg27455918",-0.00634726134975747,"CDK6"
"cg17988187",0.00632302676574242,"LOC100189589"
"cg20831413",0.00630194161484963,"ARAP1"
"cg11404906",0.00627034140854088,"HLA-DRB1"
"cg22845912",0.00625863880304945,"SLA"
"cg12282552",-0.0062560651670922,"LTBP3"
"cg24850474",0.00624638869937222,"ATP13A1"
"cg20026178",-0.00623508963643213,"WRNIP1"
"cg23010693",0.00623072449809513,"MARK3"
"cg09310966",-0.0062283708228477,"TREM1"
"cg16694480",-0.00620700968503587,"CAPZB"
"cg13645296",0.00617183222597318,"DAPK2"
"cg24279243",-0.00616582225843765,"KLF3"
"cg27541604",0.00615304100463104,"AIM2"
"cg13459606",0.00615137412741798,"GRB10"
"cg25003924",0.00614908226450614,"ARPP19"
"cg11573518",-0.00613764438443318,"CLIP2"
"cg09705784",0.00609963775303787,"DNAH17"
"cg26537335",-0.00607434243534153,"CHST11"
"cg05541267",-0.00605233998545382,"CISH"
"cg18919106",-0.00595442034040691,"EFR3A"
"cg10664754",-0.00594848736294917,"NPDC1"
"cg12077460",0.00593940926818739,"MFHAS1"
"cg04816311",0.00593508050705708,"C7orf50"
"cg01596292",0.0059149820100418,"RNF19A"
"cg10837116",0.00590277048062622,"KRT1"
"cg13561409",-0.0059008559893704,"PIP5K1C"
"cg11639708",0.00589255198980315,"MBOAT1"
"cg05573654",0.00588148785808802,"LPCAT1"
"cg12406391",0.00587044684809705,"ESPN"
"cg18700744",0.00586689481454414,"NAA25"
"cg26385283",0.0058586048617506,"HMSD"
"cg22941573",-0.00581104067462408,"TMEM189"
"cg09554443",-0.0057703678794992,"CD247"
"cg07164659",0.00576955581946959,"BIN3"
"cg25279613",0.00576307492937578,"OSBPL3"
"cg00059879",0.00574682035244689,"GALK2"
"cg16167782",-0.00569328787225364,"TSHZ1"
"cg02441149",0.00568544577112045,"EFNB2"
"cg13889620",0.00568115375399275,"MORN3"
"cg12125241",-0.00564757918091187,"PDE8A"
"cg07830855",0.00564330214733461,"DST"
"cg24162801",0.00560503710613728,"C1orf21"
"cg20794828",0.00557825939920539,"LY6G6C"
"cg13189271",-0.00557426563159095,"JARID2"
"cg24531955",-0.00555586970047449,"LOXL2"
"cg05707655",-0.00553179477093935,"ABR"
"cg14937228",0.00551357495236731,"FAM107B"
"cg03316570",0.00550384606011049,"LOC100132354"
"cg21627181",0.0054902067273971,"SLC17A4"
"cg04745820",0.00547005235497002,"LTBP1"
"cg21869609",-0.00545162349378799,"LINGO3"
"cg26839288",0.00543447311655937,"HNRNPA3P1"
"cg13904970",0.0054088192346814,"ZNF608"
"cg06738786",0.00539244014065021,"LOC100130264"
"cg05492735",0.0053742174149807,"LHFPL3"
"cg14089503",0.00536052117131703,"RAB11FIP1"
"cg27009246",0.00534427557595794,"HBG2"
"cg00285394",-0.00534075772616966,"SQLE"
"cg07211259",0.00533102870636984,"PDCD1LG2"
"cg22583147",0.00532575886393697,"C3orf77"
"cg21686287",0.0053233919403612,"EXOC6B"
"cg17202053",0.00530922862690033,"ASAP1"
"cg11100795",0.00527724487731759,"AP3B1"
"cg13389502",0.00525232055650203,"HIC1"
"cg11795975",-0.00522007797472594,"HSPA12A"
"cg18603538",0.00521140925625013,"LEP"
"cg07236691",0.00520446460079709,"ENPP2"
"cg00407537",-0.00518969796843452,"GPR114"
"cg07970948",0.00515683226787317,"ZNF862"
"cg23292259",-0.00515417565019764,"MIA2"
"cg18181703",-0.00510326804303084,"SOCS3"
"cg14762436",0.00509851044882416,"OSBPL3"
"cg10193870",-0.00509123724200881,"DPF3"
"cg07880384",0.00506119875594559,"C2"
"cg09973676",-0.00505747770825748,"PAG1"
"cg05903736",0.0050571166106468,"HDAC4"
"cg12077754",0.00505083396196561,"HK2"
"cg25095518",-0.00503744208115268,"ZAP70"
"cg11046602",0.00501624531984032,"SPOP"
"cg21684654",0.00499044390922543,"PCOLCE"
"cg14812743",0.00498194404016443,"PDE7B"
"cg06395298",-0.00497963453948401,"HOXB3"
"cg03758697",0.00497057406368639,"FAM174B"
"cg26358659",0.00495946330159517,"FHIT"
"cg05076730",0.00494375675177905,"MIR1207"
"cg08679013",0.00493296035395074,"KLF1"
"cg05298510",0.00486696159842105,"USP10"
"cg01419713",0.00485966317960917,"PLAT"
"cg23684410",0.00484241914766218,"SIK3"
"cg22053945",-0.00480984192492415,"HOXB3"
"cg16432441",0.0048061699573333,"C10orf27"
"cg26703534",-0.00480182378152904,"AHRR"
"cg02756939",0.00479316579733918,"C1orf97"
"cg06768361",0.00478568857592121,"TESC"
"cg13265003",0.00478199772714921,"SLC37A1"
"cg10861731",0.00477070540939267,"C10orf128"
"cg17115737",-0.00474047509668766,"POR"
"cg15621697",0.00473750953217634,"SLC4A4"
"cg15146567",0.0047315172970309,"ZNF662"
"cg16292768",-0.00472811840727276,"CLU"
"cg23095192",-0.00472394130335652,"ZEB2"
"cg19691659",0.00472060695155496,"NRXN2"
"cg16744911",-0.00471709820797104,"SCD"
"cg10548102",-0.00471606145314286,"MGST1"
"cg01745370",0.00471441741427838,"GCC2"
"cg11621113",-0.00471415401124244,"MORG1"
"cg11268834",-0.00470372687751204,"MRPL44"
"cg17017284",0.00469905183377292,"USP21"
"cg16096432",0.00469335068110942,"SSBP3"
"cg02379533",0.00468973011788177,"C5orf4"
"cg02577773",-0.00468691284637108,"KLF7"
"cg09696385",0.00467813523428629,"SND1"
"cg14632941",0.00467674857482843,"BEND4"
"cg25303831",0.00467556300818366,"C13orf26"
"cg14975122",0.00464610815935757,"HDAC1"
"cg23161492",-0.00462234849081235,"ANPEP"
"cg03450842",-0.00461466425104705,"ZMIZ1"
"cg24469412",-0.00461099097107372,"LYPD1"
"cg24754223",-0.00459785155268389,"PFKP"
"cg00541956",-0.00459236344589073,"ZNF256"
"cg26136776",0.0045891410726099,"KLF1"
"cg11588903",0.00456767767476213,"MYO9B"
"cg16362140",0.00456710727199026,"DAP"
"cg07828169",0.00456687983954611,"SEPT8"
"cg04299274",0.00455621937340486,"KSR1"
"cg05663031",0.00452783951209861,"BCL6"
"cg07421287",0.00451788178254057,"KCNA3"
"cg20994118",0.00451211652183988,"CAMK1G"
"cg06648780",0.0045033073934757,"ALCAM"
"cg04392554",-0.00450304755046461,"TTC38"
"cg16257219",-0.00449721620269254,"TEAD4"
